Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
rikitea,pf,-23.1203,-134.9692,80.13,75.0,71.0,7.4
sao jose da coroa grande,br,-8.8978,-35.1478,80.78,80.0,37.0,10.8
avarua,ck,-21.2078,-159.775,78.13,84.0,100.0,7.85
woodward,us,36.4337,-99.3904,44.76,73.0,100.0,18.66
cape town,za,-33.9258,18.4232,59.94,76.0,28.0,6.58
chuy,uy,-33.6971,-53.4616,60.3,76.0,0.0,4.99
skelleftea,se,64.7507,20.9528,26.22,96.0,100.0,6.87
belushya guba,ru,,,,,,
punta arenas,cl,-53.15,-70.9167,44.58,84.0,41.0,9.26
illoqqortoormiut,gl,,,,,,
marawi,sd,18.4833,31.8167,56.41,26.0,17.0,9.26
jamestown,sh,-15.9387,-5.7168,73.47,80.0,20.0,15.61
karratha,au,-20.7377,116.8463,84.7,76.0,25.0,10.42
vaini,to,-21.2,-175.2,81.45,74.0,0.0,2.06
mazagao,br,-0.115,-51.2894,75.47,97.0,100.0,2.19
namibe,ao,-15.1961,12.1522,76.21,80.0,100.0,5.73
chokurdakh,ru,70.6333,147.9167,-21.78,97.0,100.0,8.5
iwaki,jp,37.05,140.8833,42.13,84.0,100.0,22.53
ushuaia,ar,-54.8,-68.3,43.65,94.0,100.0,3.53
malwan,in,,,,,,
atuona,pf,-9.8,-139.0333,81.72,75.0,80.0,11.54
faya,td,,,,,,
zonguldak,tr,41.25,31.8333,39.15,71.0,98.0,5.46
mogadishu,so,2.0371,45.3438,80.38,79.0,97.0,24.29
kibala,ao,,,,,,
albany,au,-35.0169,117.8917,69.57,66.0,1.0,9.48
kapaa,us,22.0752,-159.319,75.22,72.0,40.0,5.66
busselton,au,-33.65,115.3333,88.34,55.0,0.0,10.83
urumqi,cn,43.801,87.6005,16.38,86.0,19.0,7.31
las varas,mx,21.1667,-105.1667,65.05,95.0,58.0,0.69
mataura,pf,,,,,,
mareeba,au,-17.0,145.4333,77.04,83.0,100.0,5.53
asyut,eg,27.181,31.1837,44.62,41.0,44.0,6.91
katsuura,jp,35.1333,140.3,44.8,85.0,100.0,32.57
port elizabeth,za,-33.918,25.5701,57.29,74.0,33.0,3.98
saint george,bm,32.3817,-64.6781,64.22,71.0,100.0,19.57
alofi,nu,-19.0595,-169.9187,84.04,75.0,100.0,6.73
kolyvan,ru,55.3053,82.7391,19.24,93.0,97.0,10.6
bengkulu,id,-3.8004,102.2655,88.32,56.0,78.0,0.6
banda aceh,id,5.5577,95.3222,81.03,76.0,98.0,5.37
barrow,us,71.2906,-156.7887,-21.23,98.0,68.0,8.72
kawalu,id,-7.3817,108.2082,82.29,69.0,80.0,3.87
hilo,us,19.7297,-155.09,71.49,74.0,46.0,6.38
